 convexhullside  parameter_lnA    parameter_n   parameter_EperR
chullside_00059     10.53519        2.125053       -2304.843    
 
chullside_00060     10.53519        2.125053       -2304.843    
chullside_00060     10.74268        2.097788       -2289.251    
chullside_00060     10.24532        2.163435       -2326.127    
chullside_00060     10.53519        2.125053       -2304.843    
 
chullside_00061     10.74268        2.097788       -2289.251    
chullside_00061     12.25571        1.913443       -2040.613    
chullside_00061     10.53519        2.125053       -2304.843    
chullside_00061     10.74268        2.097788       -2289.251    
 
chullside_00062     12.30223        1.907776       -2032.969    
chullside_00062     12.25571        1.913443       -2040.613    
chullside_00062     10.53519        2.125053       -2304.843    
chullside_00062     12.30223        1.907776       -2032.969    
 
chullside_00063     10.97257        2.067793       -2271.609    
chullside_00063     11.12754        2.047708       -2259.487    
chullside_00063     10.74268        2.097788       -2289.251    
chullside_00063     10.97257        2.067793       -2271.609    
 
chullside_00064     10.97257        2.067793       -2271.609    
chullside_00064     12.47731        1.886157       -2007.045    
chullside_00064     10.74268        2.097788       -2289.251    
chullside_00064     10.97257        2.067793       -2271.609    
 
chullside_00065     12.47731        1.886157       -2007.045    
chullside_00065     12.25571        1.913443       -2040.613    
chullside_00065     10.74268        2.097788       -2289.251    
chullside_00065     12.47731        1.886157       -2007.045    
 
chullside_00066     11.12754        2.047708       -2259.487    
chullside_00066     12.03635        1.938814       -2090.817    
chullside_00066     10.97257        2.067793       -2271.609    
chullside_00066     11.12754        2.047708       -2259.487    
 
chullside_00067     11.20960        2.037138       -2252.954    
chullside_00067     12.73100        1.842339       -2129.861    
chullside_00067     11.12754        2.047708       -2259.487    
chullside_00067     11.20960        2.037138       -2252.954    
 
chullside_00068     11.20960        2.037138       -2252.954    
chullside_00068     12.03635        1.938814       -2090.817    
chullside_00068     11.12754        2.047708       -2259.487    
chullside_00068     11.20960        2.037138       -2252.954    
 
chullside_00069     12.73100        1.842339       -2129.861    
chullside_00069     19.13127        1.027649       -1603.827    
chullside_00069     11.12754        2.047708       -2259.487    
chullside_00069     12.73100        1.842339       -2129.861    
 
chullside_00070     12.73100        1.842339       -2129.861    
chullside_00070     14.06211        1.685132       -1854.899    
chullside_00070     11.20960        2.037138       -2252.954    
chullside_00070     12.73100        1.842339       -2129.861    
 
chullside_00071     18.91577        1.054861       -1621.912    
chullside_00071     19.13127        1.027649       -1603.827    
chullside_00071     12.73100        1.842339       -2129.861    
chullside_00071     18.91577        1.054861       -1621.912    
 
chullside_00072     19.33167        1.002594       -1586.576    
chullside_00072     20.56552       0.8614400       -1261.996    
chullside_00072     19.19594        1.019538       -1598.303    
chullside_00072     19.33167        1.002594       -1586.576    
 
chullside_00073     19.34084        1.001460       -1585.767    
chullside_00073     19.43938       0.9892649       -1577.073    
chullside_00073     19.13127        1.027649       -1603.827    
chullside_00073     19.34084        1.001460       -1585.767    
 
chullside_00074     19.00488        1.043575       -1614.490    
chullside_00074     19.13127        1.027649       -1603.827    
chullside_00074     18.91577        1.054861       -1621.912    
chullside_00074     19.00488        1.043575       -1614.490    
 
chullside_00075     19.43938       0.9892649       -1577.073    
chullside_00075     20.56552       0.8614400       -1261.996    
chullside_00075     19.33167        1.002594       -1586.576    
chullside_00075     19.43938       0.9892649       -1577.073    
 
chullside_00076     20.58762       0.8588987       -1256.493    
chullside_00076     20.61670       0.8555354       -1249.527    
chullside_00076     14.06211        1.685132       -1854.899    
chullside_00076     20.58762       0.8588987       -1256.493    
 
chullside_00077     20.85211       0.8283802       -1192.180    
chullside_00077     20.61670       0.8555354       -1249.527    
chullside_00077     14.06211        1.685132       -1854.899    
chullside_00077     20.85211       0.8283802       -1192.180    
 
chullside_00078   -0.6981169        3.740000       -2834.322    
chullside_00078    -1.071815        3.740000       -3021.171    
chullside_00078     12.47469        1.886515       -2007.234    
chullside_00078   -0.6981169        3.740000       -2834.322    
 
chullside_00079     12.30223        1.907776       -2032.969    
chullside_00079     12.25571        1.913443       -2040.613    
chullside_00079     12.47731        1.886157       -2007.045    
chullside_00079     12.30223        1.907776       -2032.969    
 
chullside_00080     20.61670       0.8555354       -1249.527    
chullside_00080     29.74756      -0.2600000       -242.3965    
chullside_00080     20.85211       0.8283802       -1192.180    
chullside_00080     20.61670       0.8555354       -1249.527    
 
chullside_00081     10.05518        2.651620       -1356.738    
chullside_00081     10.38485        2.613521       -1277.365    
chullside_00081     16.84517        1.794868       -694.0189    
chullside_00081     10.05518        2.651620       -1356.738    
 
chullside_00082     10.38485        2.613521       -1277.365    
chullside_00082     10.34177        2.618560       -1286.922    
chullside_00082     10.05518        2.651620       -1356.738    
chullside_00082     10.38485        2.613521       -1277.365    
 
chullside_00083     10.34177        2.618560       -1286.922    
chullside_00083     1.159730        3.740000       -2306.522    
chullside_00083     10.05518        2.651620       -1356.738    
chullside_00083     10.34177        2.618560       -1286.922    
 
chullside_00084     31.98704      -0.2600000        477.0162    
chullside_00084     31.97910      -0.2600000        472.2532    
chullside_00084     18.43835        1.592729       -541.1324    
chullside_00084     31.98704      -0.2600000        477.0162    
 
chullside_00085     29.74756      -0.2600000       -242.3965    
chullside_00085     29.64501      -0.2600000       -498.7509    
chullside_00085     20.61670       0.8555354       -1249.527    
chullside_00085     29.74756      -0.2600000       -242.3965    
 
chullside_00086     31.98704      -0.2600000        477.0162    
chullside_00086     29.74756      -0.2600000       -242.3965    
chullside_00086     30.22324      -0.2600000       -52.12487    
chullside_00086     31.98704      -0.2600000        477.0162    
 
chullside_00087     31.98704      -0.2600000        477.0162    
chullside_00087     31.60540      -0.2600000        285.4044    
chullside_00087     30.22324      -0.2600000       -52.12487    
chullside_00087     31.98704      -0.2600000        477.0162    
 
chullside_00088     31.98704      -0.2600000        477.0162    
chullside_00088     29.64501      -0.2600000       -498.7509    
chullside_00088     30.22324      -0.2600000       -52.12487    
chullside_00088     31.98704      -0.2600000        477.0162    
 
chullside_00089     31.98704      -0.2600000        477.0162    
chullside_00089     31.97910      -0.2600000        472.2532    
chullside_00089     30.22324      -0.2600000       -52.12487    
chullside_00089     31.98704      -0.2600000        477.0162    
 
chullside_00090     29.74756      -0.2600000       -242.3965    
chullside_00090     31.60540      -0.2600000        285.4044    
chullside_00090     30.22324      -0.2600000       -52.12487    
chullside_00090     29.74756      -0.2600000       -242.3965    
 
chullside_00091     29.74756      -0.2600000       -242.3965    
chullside_00091     29.64501      -0.2600000       -498.7509    
chullside_00091     30.22324      -0.2600000       -52.12487    
chullside_00091     29.74756      -0.2600000       -242.3965    
 
chullside_00092     29.74756      -0.2600000       -242.3965    
chullside_00092     31.97910      -0.2600000        472.2532    
chullside_00092     30.22324      -0.2600000       -52.12487    
chullside_00092     29.74756      -0.2600000       -242.3965    
 
chullside_00093     31.60540      -0.2600000        285.4044    
chullside_00093     29.64501      -0.2600000       -498.7509    
chullside_00093     30.22324      -0.2600000       -52.12487    
chullside_00093     31.60540      -0.2600000        285.4044    
 
chullside_00094     31.60540      -0.2600000        285.4044    
chullside_00094     31.97910      -0.2600000        472.2532    
chullside_00094     30.22324      -0.2600000       -52.12487    
chullside_00094     31.60540      -0.2600000        285.4044    
 
chullside_00095     29.64501      -0.2600000       -498.7509    
chullside_00095     31.97910      -0.2600000        472.2532    
chullside_00095     30.22324      -0.2600000       -52.12487    
chullside_00095     29.64501      -0.2600000       -498.7509    
 
chullside_00096     29.74756      -0.2600000       -242.3965    
chullside_00096     31.60540      -0.2600000        285.4044    
chullside_00096     31.98704      -0.2600000        477.0162    
chullside_00096     29.74756      -0.2600000       -242.3965    
 
chullside_00097     29.74756      -0.2600000       -242.3965    
chullside_00097     29.64501      -0.2600000       -498.7509    
chullside_00097     31.98704      -0.2600000        477.0162    
chullside_00097     29.74756      -0.2600000       -242.3965    
 
chullside_00098     29.74756      -0.2600000       -242.3965    
chullside_00098     31.97910      -0.2600000        472.2532    
chullside_00098     31.98704      -0.2600000        477.0162    
chullside_00098     29.74756      -0.2600000       -242.3965    
 
chullside_00099     31.60540      -0.2600000        285.4044    
chullside_00099     29.64501      -0.2600000       -498.7509    
chullside_00099     31.98704      -0.2600000        477.0162    
chullside_00099     31.60540      -0.2600000        285.4044    
 
chullside_00100     31.60540      -0.2600000        285.4044    
chullside_00100     31.97910      -0.2600000        472.2532    
chullside_00100     31.98704      -0.2600000        477.0162    
chullside_00100     31.60540      -0.2600000        285.4044    
 
chullside_00101     29.64501      -0.2600000       -498.7509    
chullside_00101     31.97910      -0.2600000        472.2532    
chullside_00101     31.98704      -0.2600000        477.0162    
chullside_00101     29.64501      -0.2600000       -498.7509    
 
chullside_00102    -1.079753        3.740000       -3025.934    
chullside_00102   -0.6981169        3.740000       -2834.322    
chullside_00102    0.6840506        3.740000       -2496.793    
chullside_00102    -1.079753        3.740000       -3025.934    
 
chullside_00103    -1.079753        3.740000       -3025.934    
chullside_00103     1.262271        3.740000       -2050.167    
chullside_00103    0.6840506        3.740000       -2496.793    
chullside_00103    -1.079753        3.740000       -3025.934    
 
chullside_00104    -1.079753        3.740000       -3025.934    
chullside_00104     1.159730        3.740000       -2306.522    
chullside_00104    0.6840506        3.740000       -2496.793    
chullside_00104    -1.079753        3.740000       -3025.934    
 
chullside_00105    -1.079753        3.740000       -3025.934    
chullside_00105    -1.071815        3.740000       -3021.171    
chullside_00105    0.6840506        3.740000       -2496.793    
chullside_00105    -1.079753        3.740000       -3025.934    
 
chullside_00106   -0.6981169        3.740000       -2834.322    
chullside_00106     1.262271        3.740000       -2050.167    
chullside_00106    0.6840506        3.740000       -2496.793    
chullside_00106   -0.6981169        3.740000       -2834.322    
 
chullside_00107   -0.6981169        3.740000       -2834.322    
chullside_00107     1.159730        3.740000       -2306.522    
chullside_00107    0.6840506        3.740000       -2496.793    
chullside_00107   -0.6981169        3.740000       -2834.322    
 
chullside_00108   -0.6981169        3.740000       -2834.322    
chullside_00108    -1.071815        3.740000       -3021.171    
chullside_00108    0.6840506        3.740000       -2496.793    
chullside_00108   -0.6981169        3.740000       -2834.322    
 
chullside_00109     1.262271        3.740000       -2050.167    
chullside_00109     1.159730        3.740000       -2306.522    
chullside_00109    0.6840506        3.740000       -2496.793    
chullside_00109     1.262271        3.740000       -2050.167    
 
chullside_00110     1.262271        3.740000       -2050.167    
chullside_00110    -1.071815        3.740000       -3021.171    
chullside_00110    0.6840506        3.740000       -2496.793    
chullside_00110     1.262271        3.740000       -2050.167    
 
chullside_00111     1.159730        3.740000       -2306.522    
chullside_00111    -1.071815        3.740000       -3021.171    
chullside_00111    0.6840506        3.740000       -2496.793    
chullside_00111     1.159730        3.740000       -2306.522    
 
chullside_00112   -0.6981169        3.740000       -2834.322    
chullside_00112     1.262271        3.740000       -2050.167    
chullside_00112    -1.079753        3.740000       -3025.934    
chullside_00112   -0.6981169        3.740000       -2834.322    
 
chullside_00113   -0.6981169        3.740000       -2834.322    
chullside_00113     1.159730        3.740000       -2306.522    
chullside_00113    -1.079753        3.740000       -3025.934    
chullside_00113   -0.6981169        3.740000       -2834.322    
 
chullside_00114   -0.6981169        3.740000       -2834.322    
chullside_00114    -1.071815        3.740000       -3021.171    
chullside_00114    -1.079753        3.740000       -3025.934    
chullside_00114   -0.6981169        3.740000       -2834.322    
 
chullside_00115     1.262271        3.740000       -2050.167    
chullside_00115     1.159730        3.740000       -2306.522    
chullside_00115    -1.079753        3.740000       -3025.934    
chullside_00115     1.262271        3.740000       -2050.167    
 
chullside_00116     1.262271        3.740000       -2050.167    
chullside_00116    -1.071815        3.740000       -3021.171    
chullside_00116    -1.079753        3.740000       -3025.934    
chullside_00116     1.262271        3.740000       -2050.167    
 
chullside_00117     1.159730        3.740000       -2306.522    
chullside_00117    -1.071815        3.740000       -3021.171    
chullside_00117    -1.079753        3.740000       -3025.934    
chullside_00117     1.159730        3.740000       -2306.522    
 
chullside_00118     31.60540      -0.2600000        285.4044    
chullside_00118     29.64501      -0.2600000       -498.7509    
chullside_00118     29.74756      -0.2600000       -242.3965    
chullside_00118     31.60540      -0.2600000        285.4044    
 
chullside_00119     31.60540      -0.2600000        285.4044    
chullside_00119     31.97910      -0.2600000        472.2532    
chullside_00119     29.74756      -0.2600000       -242.3965    
chullside_00119     31.60540      -0.2600000        285.4044    
 
chullside_00120     29.64501      -0.2600000       -498.7509    
chullside_00120     31.97910      -0.2600000        472.2532    
chullside_00120     29.74756      -0.2600000       -242.3965    
chullside_00120     29.64501      -0.2600000       -498.7509    
 
chullside_00121     1.262271        3.740000       -2050.167    
chullside_00121     1.159730        3.740000       -2306.522    
chullside_00121   -0.6981169        3.740000       -2834.322    
chullside_00121     1.262271        3.740000       -2050.167    
 
chullside_00122     1.262271        3.740000       -2050.167    
chullside_00122    -1.071815        3.740000       -3021.171    
chullside_00122   -0.6981169        3.740000       -2834.322    
chullside_00122     1.262271        3.740000       -2050.167    
 
chullside_00123     1.159730        3.740000       -2306.522    
chullside_00123    -1.071815        3.740000       -3021.171    
chullside_00123   -0.6981169        3.740000       -2834.322    
chullside_00123     1.159730        3.740000       -2306.522    
 
chullside_00124     1.159730        3.740000       -2306.522    
chullside_00124    -1.071815        3.740000       -3021.171    
chullside_00124     1.262271        3.740000       -2050.167    
chullside_00124     1.159730        3.740000       -2306.522    
 
chullside_00125     29.64501      -0.2600000       -498.7509    
chullside_00125     31.97910      -0.2600000        472.2532    
chullside_00125     31.60540      -0.2600000        285.4044    
chullside_00125     29.64501      -0.2600000       -498.7509    
 
